,body,face,hats,shirt,tier
230,blue cat skin,sunglasses cowboy,hat visor yellow,tanktop orange,cool_1
231,blue cat skin,ninja red,mohawk red,buttondown blue flannel,cool_2
232,blue cat skin,ninja red,hat visor yellow,costume frog,wild_2
233,blue cat skin,happy,wreath,tshirt metal,cool_2
234,blue cat skin,face face,bucket hat blue,tanktop sailor red,wild_2
235,blue cat skin,unamused,pirate red,hoodie purple,cool_2
236,blue cat skin,hearts,goggles seaweed,astro,classy_1
237,blue cat skin,grin,costume dragon,knight black,exotic_1
238,blue cat skin,sunglasses yellow,bucket hat tan,pirate black,wild_1
239,blue cat skin,sunglasses blue,bow,ninja black,classy_1
240,blue cat skin,owo,hat visor blue,tshirt green,cool_2
241,blue cat skin,ninja black,mohawk green,winter blue,cool_2
242,blue cat skin,angry,antlers,buttondown green,cool_1
243,blue cat skin,zombie,horns,viking brown,classy_2
244,blue cat skin,uwu,sunhat tan,tanktop pink,cool_2
245,blue cat skin,sunglasses blue,tvhead purple,combat green,exotic_1
246,blue cat skin,glasses funny,afro brown,buttondown black flannel,wild_1
247,blue cat skin,three eyes,beanie orange,tshirt green,cool_2
248,blue cat skin,tired,afro black,bandana green,cool_2
249,blue cat skin,hearts,beret black,bandana red,cool_2
250,blue cat skin,ninja red,hat visor blue,shirt white,cool_2
251,blue cat skin,shocked,sunhat tan,tshirt pink,cool_2
252,blue cat skin,sunglasses cool,bucket hat tan,bandana green,cool_1
253,blue cat skin,glasses,beanie blue,costume dragon,classy_1
254,blue cat skin,dizzy,hat visor yellow,winter red,cool_2
255,blue cat skin,sunglasses cool,flower blue,overalls yellow,wild_1
256,blue cat skin,wink,admiral pink,robe blue,wild_2
257,blue cat skin,ditto,headband red,overalls blue,cool_2
258,blue cat skin,owo,mohawk red,bandana red,cool_2
259,blue cat skin,angry scar,beanie blue,hoodie black,wild_2
260,blue cat skin,tired,flower blue,tanktop orange,cool_1
261,blue cat skin,uwu,hat skull,winter red,wild_1
262,blue cat skin,ninja red,astro cheeks,costume hotdog,exotic_1
263,blue cat skin,ninja blue,beanie red,shirt white,cool_1
264,blue cat skin,sunglasses yellow,apple,hoodie purple,cool_1
265,blue cat skin,ninja blue,bucket hat tan,shirt white,cool_1
266,blue cat skin,beard brown,beanie red,overalls pink,wild_1
267,blue cat skin,beard tan,headband blue,robe red,cool_1
268,blue cat skin,double face,arrowhead,tanktop pink,cool_2
269,blue cat skin,uwu,prince,robe red,wild_1
270,blue cat skin,tired,afro black,sweater orange,cool_2
271,blue cat skin,happy,piercings,hoodie red,wild_1
272,blue cat skin,sunglasses cool,headband blue,work red,cool_1
273,blue cat skin,sunglasses cowboy,hat visor yellow,overalls blue,cool_1
274,blue cat skin,ditto,flower red,robe red,cool_2
275,blue cat skin,angry,beanie red,work red,cool_1
276,blue cat skin,beard pirate,crown gold,viking navy,exotic_1
277,blue cat skin,sunglasses cool,crown gold,costume hotdog,exotic_1
278,blue cat skin,angry,beret red,astro,wild_1
279,blue cat skin,wink,wreath,tshirt pink,cool_1
280,blue cat skin,beard pirate,ninja blue,cowboy brown,classy_2
281,blue cat skin,hearts,headband blue,robe red,cool_1
282,blue cat skin,sunglasses heart,sunhat tan,overalls flannel,wild_2
283,blue cat skin,zombie,admiral,shirt bowtie,classy_2
284,blue cat skin,beard pirate,hat white,robe blue,cool_2
285,blue cat skin,owo,wreath flowers,buttondown tan,cool_2
286,blue cat skin,derp,beanie red,robe king,wild_2
287,blue cat skin,smirk,unicorn horn,tshirt yellow,cool_2
288,blue cat skin,three eyes,sunhat white,tanktop orange,wild_1
289,blue cat skin,mummy,cowboy black,pirate red,classy_2
290,blue cat skin,sunglasses heart,crown black,sweater green chain,exotic_1
291,blue cat skin,sunglasses cowboy,headband blue,shirt bowtie,cool_2
292,blue cat skin,rich,headband blue,robe red,cool_2
293,blue cat skin,wink,hat skull,deepsea orange,classy_1
294,blue cat skin,sunglasses blue,beret black,costume dragon,classy_1
295,blue cat skin,mononoke,headband red,tanktop orange,cool_2
296,blue cat skin,angry scar,costume gorilla,chain,classy_2
297,blue cat skin,shocked,bucket hat tan,overalls blue,cool_1
298,blue cat skin,dizzy,mohawk green,tanktop tattoo,cool_2
299,blue cat skin,double face,dutch,lederhosen,classy_2
300,blue cat skin,angry,hat skull,chain,wild_1
301,blue cat skin,unamused,ninja blue,toga,wild_1
302,blue cat skin,happy,hat visor yellow,tanktop orange,cool_1
303,blue cat skin,glossy,astro cheeks,shirt yellow,wild_2
304,blue cat skin,angry,hat visor blue,tshirt pink,cool_2
305,blue cat skin,rich,flower pink,work red,cool_2
306,blue cat skin,ditto,helm silver,robe blue,wild_2
307,blue cat skin,rich,candle,bandana green,cool_2
308,blue cat skin,ninja red,mohawk green,tshirt pink,cool_1
309,blue cat skin,sunglasses heart,knight blue,astro,classy_2
310,blue cat skin,sunglasses blue,bucket hat tan,tanktop sailor blue,cool_2
311,blue cat skin,ninja blue,costume dragon,toga,classy_1
312,blue cat skin,sunglasses cowboy,sunhat white,tanktop tattoo,wild_1
313,blue cat skin,double face,beret black,buttondown tan,wild_1
314,blue cat skin,shocked,admiral,knight leather,classy_2
315,blue cat skin,grin,hat visor yellow,winter red,cool_2
316,blue cat skin,rich,horns,bandana red,wild_2
317,blue cat skin,ninja red,mohawk purple,tshirt green,cool_1
318,blue cat skin,wink,wreath,robe white,cool_2
319,blue cat skin,sunglasses cowboy,beret green,buttondown red flannel,cool_2
320,blue cat skin,owo,beanie black,tanktop tattoo,wild_1
